TP53,PTEN,RB1,NKX3-1,AR,ERG,MYC,PIK3CA,AKT1,BRCA2,CDKN1B,FOXA1,SPOP,CHD1,APC,ATM,CDK12,KMT2C,KMT2D,MED12,NCOR1,NF1,NOTCH1,ZBTB16
0.002,0.002,0.192,0.035,1.0,1.0,0.008,0.972,0.008,1.0,1.0,0.004,1.0,0.01,1.0,0.0,1.0,0.0,0.03,0.0,0.003,0.002,0.025,0.0
0.0,0.0,0.185,0.031,1.0,1.0,0.007,0.976,0.003,1.0,1.0,0.004,1.0,0.011,1.0,0.0,1.0,0.0,0.037,0.001,0.001,0.003,0.028,0.0
0.0,0.0,0.171,0.036,1.0,1.0,0.008,0.971,0.003,1.0,1.0,0.003,1.0,0.012,1.0,0.0,1.0,0.0,0.038,0.0,0.002,0.005,0.03,0.0
0.0,0.001,0.157,0.043,1.0,1.0,0.004,0.972,0.006,1.0,1.0,0.002,0.999,0.011,1.0,0.0,1.0,0.0,0.03,0.0,0.003,0.006,0.036,0.0
0.0,0.001,0.165,0.04,1.0,1.0,0.005,0.978,0.008,0.999,1.0,0.004,1.0,0.011,1.0,0.0,0.999,0.0,0.032,0.0,0.003,0.01,0.03,0.0
0.001,0.001,0.16,0.042,1.0,1.0,0.004,0.981,0.007,0.998,1.0,0.002,1.0,0.022,1.0,0.0,0.998,0.0,0.034,0.0,0.003,0.008,0.028,0.0
0.003,0.002,0.181,0.039,1.0,1.0,0.003,0.988,0.009,0.997,1.0,0.003,1.0,0.014,1.0,0.001,0.998,0.0,0.027,0.0,0.005,0.008,0.03,0.0
0.004,0.002,0.198,0.046,1.0,1.0,0.003,0.989,0.008,0.996,1.0,0.006,1.0,0.01,1.0,0.002,0.998,0.0,0.018,0.0,0.005,0.01,0.031,0.0
0.001,0.002,0.219,0.048,1.0,1.0,0.001,0.984,0.007,0.999,1.0,0.005,1.0,0.013,1.0,0.001,0.998,0.0,0.012,0.0,0.003,0.008,0.029,0.0
0.003,0.002,0.207,0.05,1.0,1.0,0.0,0.992,0.014,1.0,1.0,0.004,1.0,0.003,1.0,0.002,0.998,0.0,0.01,0.0,0.003,0.009,0.023,0.0
0.0,0.002,0.23,0.049,1.0,0.999,0.0,0.995,0.017,1.0,1.0,0.003,1.0,0.003,1.0,0.003,0.998,0.0,0.006,0.0,0.004,0.006,0.02,0.0
0.001,0.002,0.269,0.051,1.0,1.0,0.0,0.994,0.014,1.0,1.0,0.002,1.0,0.003,1.0,0.004,0.998,0.001,0.006,0.0,0.002,0.003,0.016,0.0
0.0,0.002,0.264,0.052,1.0,1.0,0.0,0.995,0.013,1.0,1.0,0.003,1.0,0.003,1.0,0.003,0.998,0.002,0.002,0.0,0.004,0.002,0.014,0.0
0.0,0.002,0.265,0.053,1.0,1.0,0.0,0.992,0.015,1.0,0.999,0.004,1.0,0.001,1.0,0.003,0.999,0.002,0.003,0.0,0.006,0.002,0.015,0.001
0.0,0.0,0.269,0.053,1.0,1.0,0.0,0.995,0.018,1.0,0.998,0.005,1.0,0.001,1.0,0.003,1.0,0.002,0.001,0.0,0.008,0.001,0.013,0.0
0.001,0.0,0.256,0.05,1.0,1.0,0.0,0.995,0.019,1.0,0.998,0.003,1.0,0.002,1.0,0.004,1.0,0.003,0.002,0.0,0.009,0.001,0.017,0.0
0.001,0.0,0.268,0.057,1.0,1.0,0.0,0.996,0.02,1.0,0.997,0.004,1.0,0.0,1.0,0.009,1.0,0.002,0.001,0.001,0.005,0.001,0.014,0.0
0.001,0.0,0.27,0.06,1.0,1.0,0.0,0.995,0.017,1.0,0.996,0.005,1.0,0.0,1.0,0.004,1.0,0.002,0.0,0.001,0.005,0.002,0.015,0.0
0.0,0.001,0.269,0.06,0.999,1.0,0.0,0.998,0.021,1.0,0.995,0.006,1.0,0.0,1.0,0.005,0.999,0.003,0.0,0.0,0.009,0.003,0.015,0.0
0.0,0.0,0.26,0.059,1.0,1.0,0.0,0.998,0.013,1.0,0.994,0.007,1.0,0.0,1.0,0.004,1.0,0.002,0.0,0.0,0.008,0.001,0.012,0.0
0.0,0.0,0.239,0.055,1.0,1.0,0.0,0.998,0.005,1.0,0.994,0.003,1.0,0.0,1.0,0.003,1.0,0.002,0.0,0.0,0.004,0.001,0.011,0.0
0.0,0.0,0.25,0.061,1.0,1.0,0.0,0.998,0.006,1.0,0.999,0.002,1.0,0.0,1.0,0.001,1.0,0.0,0.0,0.001,0.005,0.003,0.006,0.001
0.0,0.0,0.264,0.066,1.0,1.0,0.0,0.997,0.006,1.0,0.997,0.002,1.0,0.001,1.0,0.003,0.999,0.0,0.0,0.002,0.003,0.002,0.007,0.003
0.0,0.0,0.274,0.059,1.0,1.0,0.001,0.998,0.009,1.0,0.997,0.003,1.0,0.001,1.0,0.003,0.999,0.0,0.001,0.002,0.001,0.0,0.005,0.001
0.0,0.0,0.267,0.06,1.0,1.0,0.0,0.999,0.016,1.0,0.998,0.006,0.999,0.002,1.0,0.003,0.998,0.0,0.005,0.001,0.001,0.0,0.004,0.002
0.0,0.0,0.265,0.068,1.0,1.0,0.0,1.0,0.012,1.0,0.998,0.006,0.998,0.004,1.0,0.003,0.997,0.0,0.006,0.001,0.001,0.0,0.004,0.002
0.0,0.0,0.291,0.082,1.0,1.0,0.0,1.0,0.014,1.0,0.996,0.007,0.997,0.004,1.0,0.003,0.997,0.0,0.009,0.002,0.0,0.0,0.003,0.005
0.0,0.0,0.294,0.078,1.0,1.0,0.0,0.999,0.014,1.0,0.996,0.005,0.999,0.003,1.0,0.005,0.994,0.0,0.01,0.001,0.0,0.0,0.003,0.012
0.0,0.0,0.295,0.077,1.0,0.999,0.0,0.999,0.015,1.0,0.996,0.004,0.998,0.004,1.0,0.008,0.997,0.0,0.005,0.0,0.0,0.0,0.001,0.013
0.0,0.0,0.326,0.079,1.0,1.0,0.0,0.999,0.011,1.0,0.992,0.002,1.0,0.002,1.0,0.007,0.995,0.0,0.005,0.0,0.0,0.0,0.0,0.019
