M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2
4.862601580065333e+18,2.44474689797151e-12,7.222091731686964e-09,7.222091731686964e-12,6.222263660772438e+24,25231.36330197821,6.272722821763388e+53,9.671155556815829e+39,3.0646042654751406e+32,1.5062965077072421e-05,6.554444111834473e-16
7.742636826811277e+18,3.892728419714066e-12,1.1499612396296186e-08,1.1499612396296186e-11,3.9077629217585205e+24,15846.031501122377,1.590363872281507e+54,3.904262189343807e+40,1.2371860310491948e+33,5.941143813008622e-06,1.6617904878856761e-15
1.2328467394420634e+19,6.19832448186055e-12,1.8310634948714283e-08,1.8310634948714283e-11,2.4541890034237325e+24,9951.769602353515,4.032152094275324e+54,1.576157384046677e+41,4.9945413594401255e+33,2.3433095427259294e-06,4.213244599402585e-15
1.9630406500402766e+19,9.869485420011447e-12,2.915570896398796e-08,2.915570896398796e-11,1.5413022194845723e+24,6250.001346476673,1.0222975254112992e+55,6.362974561660931e+41,2.0163049666834395e+34,9.242495697557599e-07,1.0682110761736753e-14
3.1257158496882352e+19,1.5715011813414958e-11,4.642413371101852e-08,4.642413371101852e-11,9.67982713830913e+23,3925.1829967730127,2.591896848201299e+55,2.5687438121435776e+42,8.139857949094917e+34,3.645430753463337e-07,2.7083044345963205e-14
4.9770235643320934e+19,2.5022742907652556e-11,7.392034930382071e-08,7.392034930382071e-11,6.079213553515797e+23,2465.1293182266954,6.571403240962573e+55,1.0370063102536632e+43,3.286074702302023e+35,1.4378330067070564e-07,6.866538902337269e-14
7.924828983539186e+19,3.984328297405323e-11,1.1770210027423753e-07,1.1770210027423753e-10,3.817923285322785e+23,1548.1730560273743,1.6660902452696799e+56,4.186412371767636e+43,1.3265940286231005e+36,5.671109657513376e-08,1.7409178929450595e-13
1.2618568830660184e+20,6.344177390980485e-11,1.8741502900677567e-07,1.8741502900677567e-10,2.397767093439248e+23,972.297799424713,4.224146051606673e+56,1.6900618996427917e+44,5.355482988702536e+36,2.2368025074899812e-08,4.4138614126901357e-13
2.009233002565054e+20,1.010172449756186e-10,2.9841772590101213e-07,2.9841772590101216e-10,1.5058676156438223e+23,610.631354864127,1.0709749916587708e+57,6.822809056954531e+44,2.1620177253512725e+37,8.822410003807237e-09,1.1190747507039441e-12
3.1992671377973844e+20,1.608480210053989e-10,4.7516541018015857e-07,4.751654101801585e-10,9.457287499063278e+22,383.4942872068844,2.715311967781568e+57,2.754379791503407e+45,8.728102870634671e+37,3.479740299586011e-09,2.837262389033217e-12
5.094138014816365e+20,2.561155361898625e-10,7.565977066207263e-07,7.565977066207263e-10,5.939452174333336e+22,240.84558899377305,6.884305553165456e+57,1.111947875502873e+46,3.5235501923557965e+38,1.372481277489663e-09,7.193494321231585e-12
8.111308307896823e+20,4.078083613824446e-10,1.2047175097335106e-06,1.2047175097335106e-09,3.7301490659649605e+22,151.25804913611276,1.7454223865136863e+58,4.488952764064829e+46,1.4224632938071428e+39,5.413348971139497e-10,1.823813008962608e-11
1.2915496650148828e+21,6.493462368098958e-10,1.918250961585409e-06,1.918250961585409e-09,2.342642325574565e+22,94.9944631498069,4.4252819457474236e+58,1.81219797815547e+47,5.742508866819626e+39,2.1351363813818788e-10,4.624030746564637e-11
2.05651230834866e+21,1.0339428397931925e-09,3.0543979994424663e-06,3.054397999442466e-09,1.4712476548584561e+22,59.659291394136844,1.1219702721055096e+59,7.315874513807525e+47,2.318260740299492e+40,8.42141785317211e-11,1.1723603373866206e-10
3.2745491628777317e+21,1.646329393100921e-09,4.863465378527679e-06,4.863465378527679e-09,9.239864055626305e+21,37.46777371684947,2.8446035911862768e+59,2.9534311673967374e+48,9.358858618515784e+40,3.32158073255381e-11,2.97236077354884e-10
5.214008287999674e+21,2.6214219648062716e-09,7.744012238239723e-06,7.744012238239723e-09,5.802903915226199e+21,23.530853861851277,7.212106944513513e+59,1.1923052594857488e+49,3.778187376371298e+41,1.3100998852250185e-11,7.536017968525218e-10
8.302175681319701e+21,4.174045088647412e-09,1.2330657438371911e-05,1.233065743837191e-08,3.644392779658169e+21,14.778062012763753,1.8285319873834716e+60,4.813356910059366e+49,1.5252607644622422e+42,5.167303905773128e-12,1.910655238331949e-09
1.3219411484660287e+22,6.646260173283202e-09,1.9633893669703045e-05,1.9633893669703044e-08,2.2887848784769626e+21,9.281053638565561,4.6359950769007056e+60,1.943160491769494e+50,6.15750402999434e+42,2.0380911376106028e-12,4.8442074514848746e-09
2.1049041445120306e+22,1.0582725713987083e-08,3.12627110565569e-05,3.1262711056556903e-08,1.4374236084498446e+21,5.828772173748764,1.17539373121944e+61,7.844572441496536e+50,2.485795003896537e+43,8.038651414649843e-13,1.2281831573920312e-08
3.3516026509388476e+22,1.6850692061029903e-08,4.9779076888549725e-05,4.977907688854973e-08,9.027439186438097e+20,3.660638799919611,2.980051532568798e+61,3.1668674332632116e+51,1.0035197332063312e+44,3.170609761936919e-13,3.113891969343842e-08
5.336699231206302e+22,2.683106702466718e-08,7.926236759804073e-05,7.926236759804072e-08,5.669494906426653e+20,2.2989878526781617,7.555516845876102e+61,1.2784698483770838e+52,4.051226482296131e+44,1.2505538235143858e-13,7.894851137132997e-08
8.497534359086403e+22,4.272264635035899e-08,0.00012620810408583635,1.2620810408583635e-07,3.560608034035431e+20,1.4438313736055608,1.9155989144627188e+62,5.161204842493559e+52,1.6354871227512736e+45,4.9324419683584e-14,2.0016325258266428e-07
1.3530477745798076e+23,6.802653466967359e-08,0.00020095899251607993,2.0095899251607993e-07,2.236165616387888e+20,0.9067681819106752,4.85674147241652e+62,2.0835873024298927e+53,6.602489740759414e+45,1.9454567499423598e-14,5.074868035956637e-07
2.1544346900318955e+23,1.0831748064514307e-07,0.000319983545950517,3.1998354595051695e-07,1.40437717831248e+20,0.5694768452581188,1.2313609885557083e+63,8.411477899702243e+53,2.665436503315285e+46,7.673282301496467e-15,1.2866640229948421e-06
3.430469286314926e+23,1.7247206064931755e-07,0.0005095042943692753,5.095042943692753e-07,8.819897974063233e+19,0.35764805575973446,3.1219489296440602e+63,3.3957281451401126e+54,1.0760413165576953e+47,3.0265006549338272e-15,3.262162279569845e-06
5.462277217684337e+23,2.746242945039888e-07,0.0008112749210575894,8.112749210575894e-07,5.539152976436075e+19,0.22461340237765268,7.915278468207497e+63,1.3708613127432576e+55,4.343997365906335e+47,1.1937142222082109e-15,8.270770417189937e-06
8.697490026177798e+23,4.372795387721367e-07,0.0012917790974691485,1.2917790974691484e-06,3.4787495032922325e+19,0.141063762867365,2.006811598817929e+64,5.534190778686806e+55,1.753679233746168e+48,4.708254868470564e-16,2.09694176535216e-05
