M_kg,Q_C,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Phi_H,q_frac
4.641588833612792e+21,131996606317.46133,6.700743368094094e-06,1.9309314825793808e-07,1.8895511698306866e+27,7662155.550277253,5.399780014480217e+59,0.16975475148238994,0.33
4.641588833612792e+21,175995475089.94846,6.542243177130479e-06,3.515933392215544e-07,1.8856596132372213e+27,7646375.235656554,5.14734719133727e+59,0.23182324357785017,0.44
4.641588833612792e+21,219994343862.43558,6.3256625540951e-06,5.681739622569327e-07,1.8758645265990866e+27,7606656.026858119,4.812183036016989e+59,0.29970062831908495,0.55
4.641588833612792e+21,263993212634.92267,6.036469367556179e-06,8.573671487958542e-07,1.8529722105713442e+27,7513827.375741789,4.382239397740789e+59,0.3768703047883062,0.66
4.641588833612792e+21,307992081407.4098,5.646203377099108e-06,1.2476331392529246e-06,1.7987836116867182e+27,7294091.874351377,3.8339207517007844e+59,0.47007287579484314,0.77
4.641588833612792e+21,351990950179.8969,5.084113719921572e-06,1.8097227964304606e-06,1.6515070851162648e+27,6696883.56715932,3.1085696967608124e+59,0.5966208142255492,0.88
4.641588833612792e+21,395989818952.384,3.933165916291805e-06,2.9606706000602274e-06,8.19565012584323e+26,3323347.210834573,1.8604355551717222e+59,0.8676087274781225,0.99
5.994842503189421e+22,0.0,8.903732243361833e-05,0.0,1.1336975898657853e+25,45971.590604262026,9.53398093709009e+61,0.0,0.0
5.994842503189421e+22,568267242241.3951,8.876716481929193e-05,2.701576143263984e-07,1.1336870889554406e+25,45971.16479092727,9.476212578697277e+61,0.055167389245992036,0.11
5.994842503189421e+22,1136534484482.7903,8.794660952921089e-05,1.0907129044074413e-06,1.1335232165912195e+25,45964.51974439399,9.301827890432534e+61,0.1113642188155641,0.22
5.994842503189421e+22,1704801726724.1853,8.654342852412625e-05,2.4938939094920937e-06,1.1327561664852291e+25,45933.415758850795,9.007375942916575e+61,0.16975475148238992,0.33
5.994842503189421e+22,2273068968965.5806,8.44963198386877e-05,4.541002594930628e-06,1.130423239598222e+25,45838.81525804893,8.586292615024897e+61,0.2318232435778502,0.44
5.994842503189421e+22,2841336211206.9756,8.169907352738713e-05,7.3382489062312074e-06,1.1245512394281508e+25,45600.70485695102,8.027205107484933e+61,0.29970062831908495,0.55
5.994842503189421e+22,3409603453448.3706,7.796399989539783e-05,1.1073322538220504e-05,1.1108276565161955e+25,45044.21171372512,7.310015893510657e+61,0.3768703047883062,0.66
5.994842503189421e+22,3977870695689.7656,7.292352080298252e-05,1.6113801630635817e-05,1.0783424449380116e+25,43726.93199053023,6.395365265494519e+61,0.47007287579484314,0.77
5.994842503189421e+22,4546137937931.161,6.566385371862274e-05,2.3373468714995586e-05,9.900524868173454e+24,40146.76224731748,5.185406781090524e+61,0.5966208142255494,0.88
5.994842503189421e+22,5114405180172.556,5.0798791216346344e-05,3.823853121727199e-05,4.91316317156747e+24,19922.943112367102,3.103393549008033e+61,0.8676087274781223,0.99
7.742636826811277e+23,0.0,0.0011499612396296184,0.0,6.7963384974908204e+22,275.59244529365355,1.5903638722815067e+64,0.0,0.0
7.742636826811277e+23,7339453663558.048,0.0011464720198667735,3.4892197628448238e-06,6.7962755461871655e+22,275.58989260977603,1.5807275293146846e+64,0.05516738924599203,0.11
7.742636826811277e+23,14678907327116.096,0.00113587414076647,1.4087098863148329e-05,6.795293157173032e+22,275.55005660238254,1.5516384100972963e+64,0.11136421881556409,0.22
7.742636826811277e+23,22018360990674.145,0.0011177513611957467,3.22098784338716e-05,6.790694812595567e+22,275.3635931078297,1.502520864914199e+64,0.16975475148238992,0.33
7.742636826811277e+23,29357814654232.19,0.0010913119358264747,5.8649303803143585e-05,6.776709283336503e+22,274.7964780047996,1.4322799323679893e+64,0.23182324357785017,0.44
7.742636826811277e+23,36697268317790.24,0.001055184110463231,9.477712916638737e-05,6.7415075671382256e+22,273.3690436518465,1.3390185152010642e+64,0.29970062831908495,0.55
7.742636826811277e+23,44036721981348.29,0.0010069437794812141,0.00014301746014840435,6.659236849001591e+22,270.0329549041022,1.2193841438906067e+64,0.3768703047883061,0.66
7.742636826811277e+23,51376175644906.34,0.0009418434886479788,0.00020811775098163952,6.464493121907592e+22,262.13607043090394,1.0668112234961978e+64,0.47007287579484314,0.77
7.742636826811277e+23,58715629308464.38,0.0008480812827387346,0.00030187995689088366,5.93520872836101e+22,240.67351668565942,8.649779837137915e+63,0.5966208142255491,0.88
7.742636826811277e+23,66055082972022.445,0.0006560916177863305,0.0004938696218432879,2.9453639406017543e+22,119.43490615864299,5.176772446243481e+63,0.8676087274781228,0.99
1e+25,0.0,0.014852320538237332,0.0,4.074297889082048e+20,1.6521333046042987,2.6528868296963433e+66,0.0,0.0
1e+25,94792689205606.53,0.014807255532078678,4.50650061586547e-05,4.074260150766969e+20,1.6521180016664925,2.6368124408167438e+66,0.05516738924599203,0.11
1e+25,189585378411213.06,0.014670378660060025,0.00018194187817730748,4.073671224025311e+20,1.6518791910762127,2.5882888654235423e+66,0.11136421881556408,0.22
1e+25,284378067616819.6,0.014436313961222962,0.0004160065770143703,4.07091458887358e+20,1.6507613717937737,2.506355861917669e+66,0.16975475148238992,0.33
1e+25,379170756822426.1,0.014094835651434271,0.0007574848868030616,4.0625304843503967e+20,1.6473616060699288,2.389186924603904e+66,0.2318232435778501,0.44
1e+25,473963446028032.7,0.013628226843978134,0.0012240936942591986,4.041427609905332e+20,1.6388043619403325,2.233617504527717e+66,0.2997006283190849,0.55
1e+25,568756135233639.2,0.013005179010777822,0.0018471415274595102,3.992107610119991e+20,1.6188050353209433,2.0340553454771524e+66,0.3768703047883062,0.66
1e+25,663548824439245.8,0.012164376422597458,0.002687944115639874,3.875361812878728e+20,1.5714644566382376,1.7795483750050574e+66,0.47007287579484314,0.77
1e+25,758341513644852.2,0.01095339096626605,0.0038989295719712813,3.5580641550079394e+20,1.4427998272192586,1.4428702392991973e+66,0.5966208142255491,0.88
1e+25,853134202850458.8,0.008473749091710083,0.00637857144652725,1.765699293848093e+20,0.7159934518042749,8.635376898541215e+65,0.8676087274781222,0.99
