M_kg,a_dimensionless,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Omega_H
5.994842503189421e+22,0.33,8.654342852412625e-05,2.4938939094920937e-06,1.1010281941324749e+25,44646.84218866543,9.266938573928853e+61,1906.5572373759371
5.994842503189421e+22,0.44,8.44963198386877e-05,4.541002594930628e-06,1.072770395553945e+25,43500.98463437385,9.047737292380056e+61,2603.663691152502
5.994842503189421e+22,0.55,8.169907352738713e-05,7.3382489062312074e-06,1.0318683433439046e+25,41842.400885160154,8.748212415852372e+61,3366.011242560965
5.994842503189421e+22,0.66,7.796399989539783e-05,1.1073322538220504e-05,9.726771305482778e+24,39442.18920054993,8.348266417559767e+61,4232.722800815145
5.994842503189421e+22,0.77,7.292352080298252e-05,1.6113801630635817e-05,8.831861242773051e+24,35813.316792397716,7.808539589894698e+61,5279.5037288470285
5.994842503189421e+22,0.88,6.566385371862274e-05,2.3373468714995586e-05,7.301506816605077e+24,29607.708895891275,7.031185490511167e+61,6700.794654627663
5.994842503189421e+22,0.99,5.0798791216346344e-05,3.823853121727199e-05,2.803125064215336e+24,11366.710048303881,5.439457228118532e+61,9744.326353984501
7.742636826811277e+23,0.0,0.0011499612396296184,0.0,6.7963384974908204e+22,275.59244529365355,1.5903638722815067e+64,0.0
7.742636826811277e+23,0.11,0.0011464720198667735,3.4892197628448238e-06,6.7756542433707896e+22,274.7536959914934,1.585538380028336e+64,47.97325974548537
7.742636826811277e+23,0.22,0.00113587414076647,1.4087098863148329e-05,6.712050380625188e+22,272.1745507545906,1.5708818129519023e+64,96.84171516201059
7.742636826811277e+23,0.33,0.0011177513611957467,3.22098784338716e-05,6.600490615395257e+22,267.6507871858023,1.5458185213370632e+64,147.61780278530506
7.742636826811277e+23,0.44,0.0010913119358264747,5.8649303803143585e-05,6.43108956343012e+22,260.7815516167344,1.509253543786414e+64,201.5922237974875
7.742636826811277e+23,0.55,0.001055184110463231,9.477712916638737e-05,6.1858882023736964e+22,250.83860326184885,1.459289783042353e+64,260.6180260611332
7.742636826811277e+23,0.66,0.0010069437794812141,0.00014301746014840435,5.831046204091143e+22,236.44971223829555,1.3925747695820632e+64,327.7243543527512
7.742636826811277e+23,0.77,0.0009418434886479788,0.00020811775098163952,5.2945617160447235e+22,214.6951936872533,1.3025429084651243e+64,408.7727999825847
7.742636826811277e+23,0.88,0.0008480812827387346,0.00030187995689088366,4.377138340151144e+22,177.4935517111487,1.1728724293874909e+64,518.8181946182029
7.742636826811277e+23,0.99,0.0006560916177863305,0.0004938696218432879,1.6804293276713628e+22,68.1416365190022,9.073561524301242e+63,754.4678008082811
1e+25,0.0,0.014852320538237332,0.0,4.074297889082048e+20,1.6521333046042987,2.6528868296963433e+66,0.0
1e+25,0.11,0.014807255532078678,4.50650061586547e-05,4.0618980045074956e+20,1.6471051346381889,2.6448374234765755e+66,3.7143952760757792
1e+25,0.22,0.014670378660060025,0.00018194187817730748,4.0237684905320586e+20,1.6316435651501053,2.6203887960628684e+66,7.498102301849508
1e+25,0.33,0.014436313961222962,0.0004160065770143703,3.9568901683074354e+20,1.6045243150335526,2.5785807058561526e+66,11.429510361384668
1e+25,0.44,0.014094835651434271,0.0007574848868030616,3.8553369056668765e+20,1.5633443296796847,2.5175866471612073e+66,15.608553759732068
1e+25,0.55,0.013628226843978134,0.0012240936942591986,3.7083425515567835e+20,1.5037379202747996,2.4342420710235034e+66,20.178707263117907
1e+25,0.66,0.013005179010777822,0.0018471415274595102,3.49562036223469e+20,1.4174787847930412,2.322954721231084e+66,25.3745065505456
1e+25,0.77,0.012164376422597458,0.002687944115639874,3.1740063611104415e+20,1.2870638723468306,2.1727725253367974e+66,31.6497933494392
1e+25,0.88,0.01095339096626605,0.0038989295719712813,2.6240254963878052e+20,1.0640458878400427,1.9564691295284092e+66,40.170208600706374
1e+25,0.99,0.008473749091710083,0.00637857144652725,1.0073909157130343e+20,0.4084983788410002,1.5135612853004679e+66,58.41570179181506
