Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
37,Rb,ELEM_Rb_037,0.613042,6.312105164854323,12,39.6298,0,0,0,0.24149432057282788,85.468,1.0,403.0,80,43,697.8126136448154,8.722657670560192,8.722657670560192,inf,stable,True,100.0,0.075,219.7912994025325,False,False,0,0,0.56706385,7.769731130760062,0.12870458232988774,PHASE_LOCK
38,Sr,ELEM_Sr_038,0.629719,5.880105164854323,8,23.1164,2,0,0,0.24149432057282788,87.62,2.0,549.5,82,44,716.2631149733082,8.734916036259856,8.734916036259856,inf,stable,True,100.0,0.07317073170731707,230.100186472113,False,False,0,0,0.5836420000000001,8.781638517051809,0.11387396532643003,PHASE_LOCK
39,Y,ELEM_Y_039,0.617242,6.201105164854323,8,29.8755,2,0,0,0.3232142749901492,88.906,2.0,600.0,85,46,741.3256659538932,8.72147842298698,8.72147842298698,inf,stable,True,100.0,0.08235294117647059,239.6504023506536,False,False,0,0,0.5664103058823529,8.46068057309467,0.11819380147503064,PHASE_LOCK
40,Zr,ELEM_Zr_040,0.596086,6.776105164854323,8,29.8755,2,0,0,0.24149432057282788,91.224,2.0,640.1,87,47,757.0977439261023,8.70227291869083,8.70227291869083,inf,stable,True,100.0,0.08045977011494253,250.31552235406963,False,False,0,0,0.5481250574712644,7.653287653943149,0.13066280077487707,UNSTABLE
41,Nb,ELEM_Nb_041,0.617242,6.201105164854323,12,39.6298,2,0,0,0.3232142749901492,92.906,1.0,652.1,89,48,772.7113116718377,8.68214956934649,8.68214956934649,inf,stable,True,100.0,0.07865168539325842,261.16608564129876,False,False,0,0,0.5686948764044943,8.858830247122656,0.11288172050986073,PHASE_LOCK
42,Mo,ELEM_Mo_042,0.621423,6.092105164854323,12,34.5376,2,0,0,0.24149432057282788,95.95,1.0,684.3,92,50,799.7142175582668,8.69254584302464,8.69254584302464,inf,stable,True,100.0,0.08695652173913043,271.21069111166776,False,True,1,0,0.6030695829691193,9.384426967843895,0.10655951646558057,PHASE_LOCK
43,Tc,ELEM_Tc_043,0.665553,5.025105164854323,8,37.3489,2,0,0,0.24149432057282788,98.0,2.0,702.0,94,51,812.8098426178045,8.646913219338346,8.646913219338346,59700000000000.0,beta-,False,13.775974331129369,0.0851063829787234,282.4086938429381,False,False,0,0,0.6089101914893617,12.449885116347343,0.08032202632030301,PHASE_LOCK
44,Ru,ELEM_Ru_044,0.613042,6.312105164854323,12,39.6298,0,0,0,0.19275824583266318,101.07,1.0,710.2,96,52,830.3597484042884,8.64958071254467,8.64958071254467,inf,stable,True,100.0,0.08333333333333333,293.7877310322115,False,False,0,0,0.5619551666666667,9.323677356912073,0.10725381860823979,PHASE_LOCK
45,Rh,ELEM_Rh_045,0.604591,6.540105164854324,12,34.5376,2,0,0,0.24149432057282788,102.91,1.0,719.7,99,54,854.6158023457898,8.632482851977676,8.632482851977676,inf,stable,True,100.0,0.09090909090909091,304.3147896118096,False,False,0,0,0.5496281818181817,9.151918431166882,0.10926670812476841,PHASE_LOCK
46,Pd,ELEM_Pd_046,0.613042,6.312105164854323,8,14.1969,0,0,0,0.3232142749901492,106.42,0.0,804.4,101,55,869.6680586115215,8.610574837737836,8.610574837737836,inf,stable,True,100.0,0.0891089108910891,316.0332822026084,False,False,0,0,0.5584144950495049,9.809285552584576,0.10194422362763386,PHASE_LOCK
47,Ag,ELEM_Ag_047,0.578968,7.272105164854323,8,37.3489,2,0,0,0.24149432057282788,107.87,1.0,731.0,103,56,884.5620283117704,8.587980857395829,8.587980857395829,inf,stable,True,100.0,0.08737864077669903,327.92879167960183,False,False,0,0,0.5283785631067962,8.200335755347208,0.12194622632956562,UNSTABLE
